Chapter,LinkType,Target,Tag,Note
1,Forward,16,Setup,Rivalry → courtship bet
1,Forward,25,Arc,Competitive thread → public stakes
1,Forward,30,Payoff,Public hug releases mask
1,Forward,39,Motif,Locket returns in vlog rhythm
3,Forward,7,Setup,Snacks/consent fold into rooftop
3,Forward,10,Setup,Share bag/competence feed bond
3,Forward,21,Continuity,Consent phrasing formalized with keepers
3,Forward,36,Motif,Hearth warmth intersects town light
4,Forward,16,Setup,Tennis lineage → rivalry tone
4,Forward,22,Counterpoint,Legacy vs. creative divergence
4,Forward,36,Continuity,Concealment payoff in Light
5,Forward,7,Setup,Rooftop routine forms
5,Forward,8,Setup,Avoidance spirals → wager
5,Forward,21,Setup,Rooftop confidant space
5,Forward,32,Motif,Rooftop mention → private dance echo
6,Forward,7,Setup,Awkward rooftop becomes routine
6,Forward,10,Setup,Academic spark ignites
6,Forward,21,Echo,Trust formalized among keepers
7,Forward,21,Setup,Rooftop disclosures
7,Forward,23,Motif,Rehearsal protocols echo bylaws
7,Forward,28,Foreshadow,Collaboration breakthrough seeded
8,Forward,11,Setup,Blind dates consequence
8,Forward,16,Motif,Stakes echo on court
8,Forward,32,Foreshadow,Partner re‑pairing mirrors wager
9,Pre,7,Continuity,Bylaws enable sharing
9,Pre,2,Motif,Deckled paper/lamp echo
9,Forward,14,Motif,Second note
9,Forward,21,Setup,Confidants formalize
9,Forward,28,Foreshadow,Puzzle cadence → creative
9,Forward,29/30,Motif,Class tension colors reactions
10,Pre,6,Setup,Chain fix → competence
10,Pre,7,Continuity,Rooftop enables debriefs
10,Forward,19,Setup,Structure → emotion
10,Forward,25,Echo,Rivalry softened
10,Forward,35,Arc,Cooperative identity
10,Forward,21,Continuity,Consent language formalizes
11,Pre,8,Payoff,Wager executed
11,Pre,6,Echo,Prita order‑as‑care primes
11,Forward,20,Motif,Masks vs truth escalate
11,Forward,21,Setup,Rooftop trust formalizes
11,Forward,32,Foreshadow,Re‑pairings mirror wager
11,Forward,30,Payoff,Mask‑to‑truth payoff converges
12,Pre,10,Echo,Empathy flicker complicates lens
12,Pre,11,Motif,Masks/truth norms tighten
12,Pre,7,Continuity,Consent contrast vs posts
12,Forward,16,Foreshadow,Image management continues
12,Forward,20,Motif,Roles escalate
12,Forward,31,Setup,Wrong pairings strain
12,Forward,32,Foreshadow,Re‑pair emerges
12,Forward,33,Counterpoint,Healthy vs fragile bonds
13,Pre,7,Continuity,Rooftop bylaws → trust space
13,Pre,9,Echo,Poem privacy practices
13,Pre,2,Motif,Relic/archive motif
13,Forward,21,Setup,Confidant space
13,Forward,28,Foreshadow,Art/agency answer to visibility
13,Forward,36,Motif,Authority vs validation culminates
13,Forward,18,Setup,Ethics/confession cadence
14,Pre,9,Continuity,Anonymous poem norms
14,Pre,10,Echo,Precise as respect term
14,Forward,19,Setup,Structure unlocks emotion
14,Forward,21,Motif,Trusted circles consolidate
14,Forward,35,Arc,Shared success
14,Forward,28,Foreshadow,Collab cadence → performance
15,Pre,14,Continuity,Enforced pairings pressure
15,Pre,1,Echo,Performance/armor echoed
15,Forward,16,Setup,Playful challenge bet
15,Forward,21,Setup,Trusted circles absorb moments
15,Forward,30,Echo,Public gesture refracts tension
15,Forward,36,Motif,Vulnerability informs Light frame
16,Pre,1,Back‑Link,Loss/handshake seed bet tone
16,Pre,15,Setup,Pool house charge catalyzes
16,Forward,25,Setup,Chicken suit public stakes
16,Forward,30,Echo,Vulnerability unlocked pays off
16,Forward,39,Motif,Applause cadence recurs
17,Pre,7,Continuity,Silence rule foundation
17,Pre,8/11,Echo,Mask/truth tension
17,Forward,20,Motif,Performance tests honesty
17,Forward,21,Setup,Disclosures on roof
17,Forward,28,Foreshadow,Language → creative tools
17,Forward,30,Payoff,Honesty informs public choice
18,Forward,21,Setup,Kept kiss moves to confidants
18,Forward,30,Payoff,Consent repair public framing
19,Pre,10,Payoff,Rigor/respect groundwork
19,Pre,14,Continuity,Pairing proximity
19,Pre,7,Continuity,Consent culture plausibility
19,Forward,28,Foreshadow,Form → lyric/craft
19,Forward,35,Arc,Rivals → collaborators
19,Forward,20/21,Subplot,Jayden burden raises stakes
20,Pre,18,Payoff,Confession primes courage
20,Forward,21,Setup,Private truth to roof
20,Forward,32,Motif,Masks/reveal echoes in switch
20,Forward,30,Beat,Martin defense seed
20,Forward,36,Motif,Public vulnerability thread
21,Pre,17,Continuity,Therapy practice → receive
21,Pre,19,Continuity,Structure → respect
21,Pre,20,Payoff,Patch + kiss supply truth
21,Forward,28,Foreshadow,Consent‑bound creativity
21,Forward,32,Motif,Partner re‑pair decisions
21,Forward,35,Arc,Trusted collab relies on norms
22,Pre,21,Payoff,Confidant circle formalized
22,Forward,28,Foreshadow,Structure → scaffold
22,Forward,32,Motif,Protocols enable re‑pair
22,Forward,35,Arc,Collaboration relies on structure
23,Pre,22,Continuity,Protocol literacy contrast
23,Forward,24,Setup,Equipment incident
23,Forward,27,Foreshadow,Trigger phrase
23,Forward,28,Arc,Problems → design inputs
23,Forward,29/30,Motif,Stakes codify sound
24,Pre,22/23,Continuity,Rules → pressure → action
24,Forward,27,Setup,Ignition of trauma response
24,Forward,28,Motif,Unplugged edge → scaffold
24,Forward,29/30,Motif,Performance/echo threads
25,Pre,1,Back‑Link,Rivalry origin
25,Pre,16,Payoff,Bet terms/chicken suit
25,Forward,30,Echo,Humor/loyalty refracted
25,Forward,31,Setup,Wrong pairings pressure
25,Forward,39,Motif,Applause cadence/vlog payoff
26,Forward,35,Setup,Public collaboration seal
26,Forward,21,Contrast,Hidden selves vs rooftop norms
26,Forward,28,Arc,Trust recalibration → song
27,Forward,30,Payoff,Accountability language payoff
27,Forward,28,Arc,Band rules → breakthrough
28,Pre,23/24,Continuity,Breakdown/Sabotage inputs
28,Pre,19,Payoff,Haiku → lyric cadence
28,Pre,27,Payoff,Emotional protocols adopted
28,Forward,29,Setup,Set prepared
28,Forward,30,Setup,Public resonance
28,Forward,37,Motif,Gift reframed
28,Forward,35,Arc,Collaboration → shared success
29,Pre,28,Setup,Hybrid set ready
29,Forward,31,Setup,Community celebration
29,Forward,30,Echo,Micro‑repair → echo
30,Pre,27,Continuity,Accountability language
30,Pre,28,Payoff,Hybrid identity foregrounded
30,Pre,29,Payoff,Micro‑repair → ledger reflect
30,Pre,19,Motif,Breath work returns
30,Pre,22,Continuity,Reflect/arrange grounded
30,Forward,31,Setup,Consent‑aware joy
30,Forward,32,Setup,Private arcs pivot
30,Forward,37,Motif,Repaired gift motif
31,Pre,29,Continuity,Audience boundaries
31,Pre,30,Payoff,Public‑but‑precise response
31,Pre,28,Continuity,Protocol culture
31,Pre,22,Motif,Consent rituals echo ledger
31,Forward,32,Setup,Switch
31,Forward,33,Setup,Acceptance
31,Forward,37,Motif,Note cards continue
31,Forward,36,Motif,Phones lowered ritual
32,Pre,21,Continuity,Rooftop trust → private dance
32,Pre,26,Payoff,Hidden selves → attunement
32,Pre,29/30,Continuity,Public resonance → re‑pair
32,Pre,31,Continuity,Rituals carried into dance
32,Forward,33,Setup,Diner acceptance
32,Forward,34,Setup,Physical afterglow
32,Forward,35,Setup,Public collab seal
33,Pre,21/30/31/32,Continuity/Payoff,Disclosure → acceptance
33,Pre,22,Continuity,Ledger language grounds phrasing
33,Forward,34,Setup,Spark hug
33,Forward,35,Setup,Prize formalizes
33,Forward,39,Motif,Gesture‑as‑language returns
33,Forward,36,Continuity,Phones lowered/minimal language carry
34,Pre,28/32/33,Continuity/Payoff,Attunement → spark
34,Forward,35,Setup,Assembly formalizes
34,Forward,31/30,Motif,Community response context
34,Forward,39,Motif,Resolution montage
35,Pre,10/19/28/33/34,Payoff/Continuity,Rigor → win; spark → public
35,Forward,36,Setup,Engine enables project
35,Forward,40,Setup,Hum symbol in tableau
35,Forward,39,Motif,Prize echoes
35,Forward,22,Continuity,Notice/minimalism language continues
36,Pre,17/28/35/31/20,Payoff/Continuity,Restraint/engine/rituals
36,Forward,38,Setup,Private processing intensifies
36,Forward,39,Motif,Light as communal symbol
36,Forward,40,Setup,Hum/afterglow anchors quiet
37,Pre,28/31/36,Payoff/Continuity,Protocols/gifts/light
37,Forward,38,Setup,Regulation under strain
37,Forward,39,Motif,Gift images montage
37,Forward,40,Setup,Hum/ready tableau
38,Pre,17/19/35/36/37,Payoff/Continuity,Therapy/haiku/engine/gifts
38,Forward,39,Setup,Call/regulation echo
38,Forward,40,Setup,Hum/quiet close
39,Pre,30/31/36/37/38,Continuity/Payoff,Public resonance → private resolve
39,Forward,40,Setup,Stillness holds line
40,Pre,35/36/37/38/39,Payoff/Continuity,Hum/afterglow/artifacts/resolutions
40,Forward,Part 2,Setup,Escalations build
